"hierid","jco","climtas0","loggdppc0","climtas1","loggdppc1"
"AGO.14.117","AGO",22.7194175720215,8.5285587310791,26.1861209869385,9.1163911819458
"ARG.6.201","ARG",18.8694839477539,9.55284595489502,21.9393901824951,10.4601030349731
"AUS.10.1234","AU1",15.3548488616943,10.4157876968384,18.6568470001221,11.0739879608154
"AUS.10.1252","AU2",14.63001537323,10.4452238082886,17.8952579498291,11.1034250259399
"AUS.5.375","AU3",27.865795135498,10.4156446456909,30.2927150726318,11.0738458633423
"AUS.6.434","AU4",20.8444232940674,10.4159288406372,24.081714630127,11.0741300582886
"AUS.6.481","AU5",20.0945510864258,10.5420351028442,23.3230419158936,11.2002363204956
"AUS.6.632","AU6",25.1313171386719,10.4218435287476,27.6023807525635,11.0800447463989
"BGD.2.7.14.102","BD1",26.1192607879639,7.32870197296143,29.3020572662354,9.31090545654297
"BGD.3.9.20.R4d6c00f55b2b7e27","BD2",26.1634578704834,7.2767972946167,29.4788684844971,9.25900077819824
"BGD.6.23.66.455","BD3",25.2736549377441,7.32958078384399,28.6026515960693,9.3117847442627
"BOL.4.39.120","BOL",10.1690540313721,8.3579044342041,13.5349655151367,9.96363353729248
"BRA.12.1465.2991","BR1",26.6091403961182,9.16526031494141,30.0644149780273,9.73498630523682
"BRA.12.1522.3085","BR2",27.8146438598633,9.16125774383545,31.5739097595215,9.73098468780518
"BRA.13.1839.3710","BR3",22.0013694763184,9.1970739364624,25.3840217590332,9.76680088043213
"BRA.16.2796.R9ba8888c165c857f","BR4",21.5277347564697,9.16250991821289,25.4021263122559,9.73223686218262
"BRA.16.3111.5969","BR5",21.0654277801514,9.22190952301025,24.8857517242432,9.79163646697998
"BRA.25.5063.R7a72d4217d127660","BR6",23.6450214385986,9.21253395080566,27.4705142974854,9.78226089477539
"BRA.4.Rbe14a995b3ba8468","BR7",28.2440204620361,9.16207504272461,32.2518081665039,9.73180198669434
"BRA.5.392.Rf46439745e337628","BR8",23.7877674102783,9.16567325592041,26.910680770874,9.73540019989014
"BRA.5.417.R25f24a4024c92f17","BR9",24.3556900024414,9.16201496124268,27.3780975341797,9.7317419052124
"CAN.2.37.997","CA1",9.65576267242432,10.3901605606079,13.6855239868164,11.3402194976807
"CAN.2.41.1063","CA2",2.90254998207092,10.3954839706421,7.80796003341675,11.3455438613892
"CAN.3.54","CA3",2.92984867095947,10.4009828567505,7.7985692024231,11.3510417938232
"CAN.8.117.2352","CA4",-12.2930212020874,10.3947010040283,-5.93824243545532,11.3447608947754
"CHL.11.38.234","CL1",13.9818334579468,9.61853122711182,17.3273029327393,10.7141141891479
"CHL.5.14.R1da4c262600c4677","CL2",12.8845224380493,9.47579479217529,16.06223487854,10.5713777542114
"CHN.10.99.691","CN1",14.5938997268677,8.87110710144043,18.2734279632568,10.52272605896
"CHN.11.108.757","CN2",3.51977252960205,8.7690544128418,8.25094699859619,10.4206733703613
"CHN.20.224.1494","CN3",9.69495105743408,8.82354068756104,13.695611000061,10.4751596450806
"CHN.22.233.1535","CN4",2.81335306167603,8.76050186157227,6.86864995956421,10.4121208190918
"CHN.30.316.2175","CN5",2.38177609443665,8.76015472412109,6.87724781036377,10.4117736816406
"CHN.31.320.2222","CN6",15.2814359664917,8.76979732513428,18.6411228179932,10.4214162826538
"CHN.32.338.2358","CN7",18.2361373901367,8.82384490966797,21.9737319946289,10.4754638671875
"CHN.6.52.313","CN8",21.4140453338623,8.78096008300781,24.3807125091553,10.432578086853
"CHN.8.85.521","CN9",15.8565006256104,8.77071189880371,19.7721633911133,10.4223308563232
"CMR.7.39","CMR",28.3335208892822,7.61227083206177,31.6906833648682,9.45310592651367
"COL.17.619","CO1",21.6994972229004,8.99856758117676,25.1127071380615,10.0581140518188
"COL.2.104","CO2",27.5201358795166,9.00094223022461,30.8059558868408,10.0604887008667
"COL.20.Re9d1eea091539e6d","CO3",27.2629108428955,8.99838352203369,30.7550849914551,10.0579299926758
"COL.21.749","CO4",26.8030033111572,8.84390830993652,29.2137928009033,9.90345478057861
"DEU.10.25.R69e5107fbc8d71e3","DEU",9.42604732513428,10.3858547210693,12.2139472961426,11.1669483184814
"DZA.15.473","DZA",15.3489761352539,9.00468826293945,19.3442897796631,9.93484878540039
"ECU.13.122.591","EC1",27.187255859375,8.86162948608398,30.0108470916748,10.0228614807129
"ECU.18.174.866","EC2",12.472882270813,9.18481636047363,15.4938745498657,10.3460474014282
"ETH.8.35.Rf458f466034e87f1","ET1",19.1557025909424,6.8252124786377,22.2398948669434,8.93393611907959
"ETH.9.47.R7c469706072a0ea2","ET2",27.1657409667969,6.81348943710327,30.0829849243164,8.92221355438232
"GBR.1.69","GBR",8.95908546447754,10.2677850723267,11.3157186508179,10.97496509552
"GHA.9.Rf74378cac16e4bd9","GHA",27.4319286346436,7.25886297225952,30.0878868103027,9.25138092041016
"GIN.7.28.R62ac318e1ee54ed9","GIN",24.3660144805908,6.684401512146,27.973726272583,9.29207420349121
"IDN.11.135","ID1",25.0977249145508,8.29151916503906,27.5582485198975,9.99956321716309
"IDN.9.73","ID2",28.563549041748,8.21462249755859,31.5157127380371,9.92266654968262
"IND.20.258.993","IN1",25.2785816192627,7.96762037277222,29.1314277648926,9.46901798248291
"IND.21.320.1279","IN2",27.1815586090088,7.96775388717651,30.7560863494873,9.46915149688721
"IND.21.334.1409","IN3",27.2714309692383,7.95633554458618,29.7903728485107,9.45773315429688
"IND.25.368.1515","IN4",17.2825508117676,7.91774559020996,20.6982765197754,9.4191427230835
"IND.29.447.1786","IN5",25.5759124755859,8.00040054321289,29.4674472808838,9.50179767608643
"IND.31.461.1848","IN6",27.5976696014404,8.09111309051514,30.5367546081543,9.59251117706299
"IND.33.494.2013","IN7",25.4983959197998,7.95318222045898,29.2179069519043,9.45458030700684
"IRN.18.171","IRN",14.5406408309937,9.28088855743408,18.4731216430664,10.205153465271
"IRQ.18.101","IRQ",24.634693145752,8.04189586639404,28.7744045257568,9.29015731811523
"ITA.16.92","ITA",15.022274017334,10.2004375457764,18.453426361084,10.929009437561
"JPN.1.R58c06340fd6dfc66","JPN",16.1175537109375,10.3384017944336,19.0841388702393,10.9759111404419
"KAZ.5.60","KAZ",3.16347169876099,9.31935882568359,8.8855152130127,10.4054269790649
"KEN.6.29","KEN",22.3151721954346,7.24869441986084,25.0151519775391,9.09742164611816
"MEX.11.R9d3b4c5fa53f4560","MX1",19.8208808898926,9.45978355407715,23.7762184143066,10.2689533233643
"MEX.30.1516","MX2",19.2442722320557,9.4228982925415,22.4392948150635,10.2320680618286
"MEX.30.Rb6e794dbd8d5acd9","MX3",26.0771446228027,9.36978721618652,29.2082939147949,10.1789569854736
"MMR.2.7.36","MMR",27.365816116333,7.29317855834961,29.9081764221191,8.52528953552246
"MOZ.10.R85d6a6c3ba3b58e9","MZ1",23.2653694152832,6.67602682113647,26.83713722229,8.87228107452393
"MOZ.3.R17bca34b68622e96","MZ2",24.4237651824951,6.67724514007568,27.4101886749268,8.87349891662598
"MYS.3.23","MYS",27.1446495056152,9.42022228240967,29.6851272583008,10.6356716156006
"NGA.1.R59881922ecff8a1d","NG1",27.3545799255371,7.64033794403076,30.105583190918,9.52917671203613
"NGA.31.660","NG2",27.2750091552734,7.63550901412964,30.0979900360107,9.52434730529785
"PER.15.135.R6c6dd25c602dac4e","PE1",21.2414932250977,9.0941915512085,24.2114353179932,10.518985748291
"PER.23.186.R2a2b24bab9a44f6d","PE2",8.00666904449463,9.01171684265137,11.5795736312866,10.4365110397339
"PHL.62.R1b16a87d089c158e","PHL",26.240665435791,8.12564659118652,28.4161415100098,9.63556098937988
"PNG.2.8","PNG",23.5479583740234,7.50261831283569,26.4163570404053,9.5644474029541
"RUS.13.389.389","RU1",-5.95648241043091,9.46521091461182,-0.30846232175827,10.6226587295532
"RUS.64.1711.1828","RU2",5.32831287384033,9.58493995666504,10.0140924453735,10.7423887252808
"RUS.81.2262.2379","RU3",4.87592220306396,9.48210144042969,9.65137958526611,10.6395492553711
"SDN.5.12.58.187","SDN",27.8260517120361,7.58937644958496,31.3882007598877,9.16255950927734
"TCD.5.16","TCD",29.2678070068359,7.2319507598877,32.5293998718262,9.01230239868164
"THA.27","TH1",27.3249626159668,8.89202690124512,30.2875003814697,10.3908567428589
"THA.74.884.Re208a71738d2700a","TH2",26.1591968536377,8.88449764251709,29.0663871765137,10.3833265304565
"TUR.65.756","TUR",13.2521686553955,9.4213285446167,16.5464744567871,10.3068590164185
"UKR.16.390","UKR",9.28082180023193,8.74095726013184,13.0985326766968,10.3917303085327
"USA.11.404","US1",21.1009960174561,10.6354026794434,23.9968395233154,11.2500762939453
"USA.11.531","US2",17.7011489868164,10.7460327148438,21.3425331115723,11.3607063293457
"USA.13.560","US3",8.1167688369751,10.5782794952393,12.7421340942383,11.1929540634155
"USA.16.812","US4",10.0472822189331,10.6064977645874,14.0602293014526,11.2211723327637
"USA.18.1074","US5",14.5477237701416,10.6494798660278,18.6296730041504,11.2641534805298
"USA.20.1191","US6",7.53352165222168,10.5825147628784,11.5123729705811,11.1971883773804
"USA.33.1836","US7",9.73164176940918,10.6593856811523,13.9590120315552,11.2740602493286
"USA.44.2575","US8",19.2636051177979,10.5740280151367,22.5296783447266,11.188702583313
"VNM.1.4","VN1",28.5855407714844,7.90573263168335,31.0166530609131,9.89336109161377
"VNM.5.49.507.Rec5d9fac25d56474","VN2",25.9040870666504,7.98490715026855,28.7616405487061,9.97253608703613
"YEM.13.Raae0c13da8854bde","YEM",21.7749633789062,7.72731590270996,25.1208820343018,9.06649780273438
"ZAF.10.335","ZA1",17.9647979736328,9.12171745300293,20.3415279388428,10.2489423751831
"ZAF.3.119","ZA2",19.124719619751,9.11715316772461,22.879487991333,10.2443780899048
